seq_length,molecular_weight,nh3_tail,po3_pos,biotinylated,acylated_n_terminal,cyclic,amidated,stearyl_uptake,hexahistidine_tagged,aromaticity,instability_index,isoelectric_point,helix_fraction,turn_fraction,sheet_fraction,molar_extinction_coefficient_reduced,molar_extinction_coefficient_oxidized,gravy,is_cpp
7.0,900.034,0,0,0,0,0,0,0,0,0.28571428571428575,-21.057142857142857,6.786086845397949,0.28571428571428575,0.14285714285714288,0.5714285714285715,5500.0,5500.0,0.7571428571428571,0
25.0,2455.8464,0,0,0,0,0,0,0,0,0.0,-4.3679999999999986,5.335101127624512,0.16,0.4,0.52,0.0,0.0,1.08,0
18.0,2167.6095,0,0,0,0,0,0,0,0,0.0,98.1888888888889,11.999967765808105,0.3888888888888889,0.05555555555555555,0.2777777777777778,0.0,0.0,-0.5555555555555556,0
29.0,3611.9256000000005,0,0,0,0,0,0,0,0,0.1724137931034483,46.15517241379312,5.094103813171387,0.5172413793103449,0.1724137931034483,0.27586206896551724,8480.0,8480.0,-1.3724137931034484,0
11.0,1166.5176,0,0,0,0,0,0,0,0,0.0,56.236363636363635,5.553419685363769,0.6363636363636364,0.18181818181818182,0.45454545454545453,0.0,125.0,2.3727272727272726,0
20.0,2179.41,0,0,0,0,0,0,0,0,0.05,35.7,6.247764778137207,0.45,0.25,0.2,1490.0,1490.0,-1.1099999999999999,0
9.0,853.9162,0,0,0,0,0,0,0,0,0.1111111111111111,8.88888888888889,5.57001667022705,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.0,0.0,0.7555555555555555,0
29.0,3116.5416999999998,0,0,0,0,0,0,0,0,0.06896551724137931,62.36551724137931,4.891018104553221,0.3793103448275862,0.3103448275862069,0.41379310344827586,1490.0,1490.0,0.49310344827586206,0
13.0,1511.9354999999998,0,0,0,0,0,0,0,0,0.07692307692307693,7.853846153846151,10.47786922454834,0.7692307692307693,0.0,0.5384615384615385,5500.0,5500.0,0.4461538461538461,1
20.0,2377.0566,0,0,0,0,0,0,0,0,0.05,30.289999999999996,11.505301856994631,0.7000000000000001,0.05,0.4,5500.0,5500.0,-0.585,1
15.0,1944.2217,0,0,0,0,0,0,0,0,0.26666666666666666,130.85999999999999,10.903618431091306,0.2,0.2,0.4666666666666667,13980.0,13980.0,-0.9733333333333333,0
28.0,2850.5105000000003,0,0,0,0,0,0,0,0,0.03571428571428572,10.367857142857138,10.47786922454834,0.7142857142857143,0.10714285714285715,0.39285714285714285,5500.0,5500.0,1.032142857142857,1
17.0,1647.7374,0,0,0,0,0,0,0,0,0.11764705882352942,-0.5764705882352944,5.5691640853881825,0.35294117647058826,0.23529411764705885,0.4705882352941177,1490.0,1490.0,0.31176470588235294,0
25.0,3055.3994,0,0,0,0,0,0,0,0,0.12,47.98400000000001,8.421005439758304,0.4,0.2,0.32,2980.0,2980.0,-1.256,0
6.0,705.7822,0,0,0,0,0,0,0,0,0.16666666666666669,8.333333333333334,6.786086845397949,0.33333333333333337,0.33333333333333337,0.16666666666666669,0.0,0.0,-0.16666666666666674,0
26.0,2764.08,0,0,0,0,0,0,0,0,0.07692307692307693,53.53461538461538,8.255772972106932,0.19230769230769232,0.4615384615384615,0.2692307692307692,6990.0,6990.0,-0.23076923076923078,0
8.0,838.8617999999999,0,0,0,0,0,0,0,0,0.125,13.5625,5.57001667022705,0.25,0.25,0.5,0.0,0.0,-0.3375,0
34.0,4017.4862000000003,0,0,0,0,0,0,0,0,0.2058823529411765,49.50911764705884,10.11594371795654,0.2647058823529412,0.2647058823529412,0.3235294117647059,4470.0,4470.0,-1.0588235294117647,0
28.0,3156.5134,0,0,0,0,0,0,0,0,0.03571428571428572,143.80714285714285,10.903618431091306,0.32142857142857145,0.35714285714285715,0.1785714285714286,5500.0,5500.0,-1.1392857142857145,0
